time,node,timestamp,result,channel,duration
257247,8,234.0,coll,1,2700
257247,13,216.0,coll,1,2700
257256,13,216.0,succ,1,2700
259965,6,144.0,coll,1,2700
259965,11,558.0,coll,1,2700
259965,14,117.0,coll,1,2700
259992,5,153.0,coll,1,2700
259992,12,288.0,coll,1,2700
260019,10,189.0,succ,1,2700
262719,10,0.0,succ,1,2700
265428,9,396.0,succ,1,2700
268137,14,171.0,succ,1,2700
270837,14,0.0,succ,1,2700
273546,11,621.0,succ,1,2700
276255,8,315.0,succ,1,2700
278964,7,108.0,succ,1,2700
281673,14,36.0,succ,1,2700
284373,14,0.0,succ,1,2700
287082,6,243.0,coll,1,2700
287082,13,108.0,coll,1,2700
287100,12,378.0,succ,1,2700
289809,14,27.0,succ,1,2700
292518,5,261.0,succ,1,2700
295236,9,99.0,coll,1,2700
295236,10,108.0,coll,1,2700
295245,10,108.0,succ,1,2700
297954,6,297.0,succ,1,2700
300672,11,108.0,succ,1,2700
303381,8,108.0,succ,1,2700
306081,8,0.0,succ,1,2700
308790,14,72.0,succ,1,2700
311499,7,117.0,succ,1,2700
314208,11,36.0,succ,1,2700
316917,8,36.0,coll,1,2700
316917,12,108.0,coll,1,2700
316917,13,225.0,coll,1,2700
316935,5,99.0,succ,1,2700
319662,5,27.0,succ,1,2700
322380,10,126.0,coll,1,2700
322380,14,81.0,coll,1,2700
322398,9,234.0,succ,1,2700
325107,6,135.0,coll,1,2700
325107,7,90.0,coll,1,2700
325107,9,9.0,coll,1,2700
325107,11,81.0,coll,1,2700
325143,8,135.0,succ,1,2700
327861,6,180.0,coll,1,2700
327861,7,135.0,coll,1,2700
327861,10,189.0,coll,1,2700
327861,12,225.0,coll,1,2700
327861,13,342.0,coll,1,2700
327861,14,144.0,coll,1,2700
327897,8,45.0,succ,1,2700
330597,8,0.0,succ,1,2700
333306,6,216.0,coll,1,2700
333306,8,9.0,coll,1,2700
333324,5,126.0,coll,1,2700
333324,9,99.0,coll,1,2700
333342,6,234.0,coll,1,2700
333342,13,396.0,coll,1,2700
333369,7,207.0,succ,1,2700
336078,11,207.0,succ,1,2700
338787,5,171.0,coll,1,2700
338787,7,18.0,coll,1,2700
338787,14,234.0,coll,1,2700
338805,7,27.0,coll,1,2700
338805,10,288.0,coll,1,2700
338823,5,189.0,coll,1,2700
338823,12,333.0,coll,1,2700
338823,14,252.0,coll,1,2700
338841,14,261.0,succ,1,2700
341550,11,45.0,succ,1,2700
344250,11,0.0,succ,1,2700
346959,5,216.0,coll,1,2700
346959,13,477.0,coll,1,2700
346977,6,324.0,coll,1,2700
346977,8,117.0,coll,1,2700
346995,10,342.0,succ,1,2700
349704,5,243.0,coll,1,2700
349704,9,216.0,coll,1,2700
349713,9,216.0,succ,1,2700
352422,10,18.0,coll,1,2700
352422,13,513.0,coll,1,2700
352449,8,162.0,coll,1,2700
352449,13,531.0,coll,1,2700
352467,7,126.0,coll,1,2700
352467,11,72.0,coll,1,2700
352467,13,540.0,coll,1,2700
352467,14,81.0,coll,1,2700
352476,14,81.0,succ,1,2700
355185,14,9.0,succ,1,2700
357903,9,63.0,succ,1,2700
360612,12,459.0,succ,1,2700
363321,5,324.0,succ,1,2700
366030,7,180.0,succ,1,2700
368739,8,234.0,succ,1,2700
371439,8,0.0,succ,1,2700
374148,6,450.0,coll,1,2700
374148,10,117.0,coll,1,2700
374166,5,36.0,coll,1,2700
374166,10,126.0,coll,1,2700
374166,12,45.0,coll,1,2700
374184,8,27.0,succ,1,2700
376893,5,54.0,succ,1,2700
379611,12,81.0,succ,1,2700
382311,12,0.0,succ,1,2700
385020,5,27.0,coll,1,2700
385020,11,198.0,coll,1,2700
385020,13,666.0,coll,1,2700
385038,7,81.0,coll,1,2700
385038,14,126.0,coll,1,2700
385047,7,81.0,succ,1,2700
387756,7,9.0,succ,1,2700
390465,7,9.0,coll,1,2700
390465,12,36.0,coll,1,2700
390474,7,9.0,succ,1,2700
393183,8,72.0,coll,1,2700
393183,9,135.0,coll,1,2700
393183,14,153.0,coll,1,2700
393192,9,135.0,succ,1,2700
395901,7,18.0,coll,1,2700
395901,12,54.0,coll,1,2700
395919,6,558.0,succ,1,2700
398637,5,99.0,coll,1,2700
398637,10,243.0,coll,1,2700
398637,11,270.0,coll,1,2700
398637,14,189.0,coll,1,2700
398655,10,252.0,succ,1,2700
401364,6,36.0,coll,1,2700
401364,12,99.0,coll,1,2700
401382,8,135.0,succ,1,2700
404091,9,72.0,coll,1,2700
